path,sha256,size_bytes,source_url,licence,retrieved_utc,notes
raw/gias/20260428/edubasealldata20260428.csv,1ce34ab10c7775bb1133a7d2320747587babf4e5199e3b4c6a27b113a10b0ced,64406636,https://get-information-schools.service.gov.uk/Downloads,Open Government Licence v3.0,2026-04-28T09:34:11+00:00,GIAS edubasealldata snapshot for 20260428
raw/geography/20260428/lsoa21_ne_bgc.geojson,f8316d9a81240ba8bbc86b20bf6565dad15180099f6dd59c2d4780ca32456856,4567047,https://services1.arcgis.com/ESMARspQHYMw9BZ9/ArcGIS/rest/services/Lower_layer_Super_Output_Areas_December_2021_Boundaries_EW_BGC_V5/FeatureServer/0,Open Government Licence v3.0,2026-04-28T09:53:29+00:00,ONS Open Geography Portal
raw/geography/20260428/lad24_ne_bfe.geojson,aa67a8a1d9b686d929ee4e082808b1753bc8475f8cea3e5aa2aadd7b054838c4,11610883,https://services1.arcgis.com/ESMARspQHYMw9BZ9/ArcGIS/rest/services/Local_Authority_Districts_December_2024_Boundaries_UK_BFE/FeatureServer/0,Open Government Licence v3.0,2026-04-28T09:53:29+00:00,ONS Open Geography Portal
raw/geography/20260428/lsoa21_pwc_ne.geojson,3fbfd8d94d42ee453e47d836d85d2b96508246345347b58c2628b0698ffc1f9f,525300,https://services1.arcgis.com/ESMARspQHYMw9BZ9/ArcGIS/rest/services/LSOA_PopCentroids_EW_2021_V4/FeatureServer/0,Open Government Licence v3.0,2026-04-28T09:53:29+00:00,ONS Open Geography Portal
raw/imd2025/20260428/File_1_IoD2025_Index_of_Multiple_Deprivation.xlsx,e2b10ed1b4d00c02cba12770a0d854b53f7ba7a103df8125744bedad4779866b,1469027,https://assets.publishing.service.gov.uk/media/691dece32c6b98ecdbc500d5/File_1_IoD2025_Index_of_Multiple_Deprivation.xlsx,Open Government Licence v3.0,2026-04-28T09:53:29+00:00,MHCLG IoD2025
raw/imd2025/20260428/File_3_IoD2025_Supplementary_Indices_IDACI_and_IDAOPI.xlsx,3248c0c10805665d2ff7cb7bb0f26152244c7a560d9d41046a2a6d028b3f0b3f,2283090,https://assets.publishing.service.gov.uk/media/691ded0a21ef5aaa6543efe9/File_3_IoD2025_Supplementary_Indices_IDACI_and_IDAOPI.xlsx,Open Government Licence v3.0,2026-04-28T09:53:29+00:00,MHCLG IoD2025
raw/census2021/20260428/census2021-ts007a.zip,041e57fa6d3243fd622772767bba08ea64dece3d57de909f1fbcf675f888cad7,5714105,https://www.nomisweb.co.uk/output/census/2021/census2021-ts007a.zip,Open Government Licence v3.0,2026-04-28T09:53:29+00:00,ONS Census 2021 TS007a (age 5y bands)
raw/geography/20260428/lsoa21_ruc_ne.geojson,ab6b3f1b6a6d9c3bdbc4a48d428f243372ba060d79d8142e498b3da43a02ddad,1198870,https://services1.arcgis.com/ESMARspQHYMw9BZ9/ArcGIS/rest/services/LSOA_2021_EW_BSC_V4_RUC/FeatureServer/0,Open Government Licence v3.0,2026-04-28T09:53:29+00:00,LSOA21 RUC21 attributes (no geometry needed)
raw/overpass/20260428/osm_overpass_salons_ne.json,c3d8fda3aedb0666ced622ac4e4e7188e5095edb760f50b199787fa4e60e504a,19703,https://overpass-api.de/api/interpreter,ODbL-1.0 (OpenStreetMap),2026-04-28T10:04:54+00:00,Overpass query for tanning_salon / solarium / beauty=tanning over NE bbox
raw/google_places/20260428/google_places_raw.jsonl,b7e5bf037dc702d1dc5ecb7c3f84d871dde8af849eb5f8ea7f90130dac894a4f,571149,https://places.googleapis.com/v1/places:searchText,Google Places API ToS — not for redistribution; see DEC-014,2026-04-28T10:18:21+00:00,Gridded Text Search at cell_size=5000 m; {'reused_existing': True}
