phase,q,n_routes,n_pupils_cohort,mean,ci_lo,ci_hi
primary,1,3352,76092,0.08670225488418058,0.07561088597510014,0.09779362379326102
primary,2,1721,33197,0.10979305358917975,0.09270421902041831,0.1268818881579412
primary,3,1151,20127,0.09712133708278267,0.07521575158561725,0.1190269225799481
primary,4,1098,18604,0.09446254071661236,0.07122632727309623,0.1176987541601285
primary,5,1305,25738,0.079843033646748,0.06135743366606056,0.09832863362743544
secondary,1,2978,65462,0.2558476316175392,0.23315080253715154,0.2785444606979269
secondary,2,1520,29627,0.3268438888063832,0.28739378502698876,0.36629399258577766
secondary,3,985,19762,0.24513217018175926,0.20620676288910647,0.28405757747441207
secondary,4,974,16975,0.22894036145997784,0.18828628952894225,0.2695944333910134
secondary,5,1250,26356,0.20857489755653363,0.1657397256964353,0.25141006941663196
