lad_code,n_salons,pop_total,pop_school_age,salons_per_100k_pop,salons_per_100k_child
Hartlepool,16,92376,16687,17.32,95.88
Middlesbrough,40,143938,27831,27.79,143.72
Redcar and Cleveland,15,136488,22977,10.99,65.28
Stockton-on-Tees,44,196608,36070,22.38,121.99
Darlington,23,106358,18490,21.63,124.39
County Durham,141,522076,89111,27.01,158.23
Northumberland,82,320539,49771,25.58,164.75
Newcastle upon Tyne,55,300106,56473,18.33,97.39
North Tyneside,46,208967,34462,22.01,133.48
South Tyneside,27,147790,24574,18.27,109.87
Sunderland,70,274185,45918,25.53,152.45
Gateshead,42,196202,32382,21.41,129.7
